Добавление документа;[Передача в производство]; тип [Лимитки ->Списание на производство (фасовочное отделение)]; файл dc000045;; koddoc = 5937537;2012-07-02T0:00:01.000+0300;17
Добавление документа;[Выход из закалки поддона № 64102]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937540;2012-07-02T6:12:55.000+0300;282
Добавление документа;[Выход из закалки поддона № 64103]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937541;2012-07-02T6:12:58.000+0300;282
Добавление документа;[Выход из закалки поддона № 64104]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937542;2012-07-02T6:13:00.000+0300;282
Добавление документа;[Выход из закалки поддона № 64105]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937543;2012-07-02T6:13:02.000+0300;282
Добавление документа;[Выход из закалки поддона № 64106]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937544;2012-07-02T6:13:05.000+0300;282
Добавление документа;[Выход из закалки поддона № 64107]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937545;2012-07-02T6:13:07.000+0300;282
Добавление документа;[Выход из закалки поддона № 64108]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937546;2012-07-02T6:13:10.000+0300;282
Добавление документа;[Выход из закалки поддона № 64109]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937547;2012-07-02T6:13:12.000+0300;282
Добавление документа;[Выход из закалки поддона № 64110]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937548;2012-07-02T6:13:14.000+0300;282
Добавление документа;[Выход из закалки поддона № 64111]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937549;2012-07-02T6:13:17.000+0300;282
Добавление документа;[Выход из закалки поддона № 64112]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937550;2012-07-02T6:13:19.000+0300;282
Добавление документа;[Выход из закалки поддона № 64113]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937551;2012-07-02T6:13:21.000+0300;282
Добавление документа;[Выход из закалки поддона № 64114]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937552;2012-07-02T6:13:24.000+0300;282
Добавление документа;[Выход из закалки поддона № 64115]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937553;2012-07-02T6:13:26.000+0300;282
Добавление документа;[Выход из закалки поддона № 64116]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937554;2012-07-02T6:13:28.000+0300;282
Добавление документа;[Выход из закалки поддона № 64117]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937555;2012-07-02T6:13:31.000+0300;282
Добавление документа;[Выход из закалки поддона № 64118]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937556;2012-07-02T6:13:33.000+0300;282
Добавление документа;[Выход из закалки поддона № 64119]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937557;2012-07-02T6:13:36.000+0300;282
Добавление документа;[Выход из закалки поддона № 64120]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937558;2012-07-02T6:13:38.000+0300;282
Добавление документа;[Выход из закалки поддона № 64121]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937559;2012-07-02T6:13:40.000+0300;282
Добавление документа;[Выход из закалки поддона № 64122]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937560;2012-07-02T6:13:43.000+0300;282
Добавление документа;[Выход из закалки поддона № 64101]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937539;2012-07-02T6:13:46.000+0300;282
Добавление документа;[Выход из закалки поддона № 64124]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937562;2012-07-02T6:15:20.000+0300;282
Добавление документа;[Выход из закалки поддона № 64125]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937563;2012-07-02T6:15:23.000+0300;282
Добавление документа;[Выход из закалки поддона № 64123]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937561;2012-07-02T6:15:26.000+0300;282
Добавление документа;[Выход из закалки поддона № 64127]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937565;2012-07-02T6:16:50.000+0300;282
Добавление документа;[Выход из закалки поддона № 64128]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937566;2012-07-02T6:16:52.000+0300;282
Добавление документа;[Выход из закалки поддона № 64129]; тип [Приход из производст->Выход ГП из закалки]; файл dc000039;; koddoc = 5937567;2012-07-02T6:16:55.000+0300;282
